weekday,month,date,year,text,handle,comment_unclean,service_person,comment
Thu,Oct,1,2015,@mjdout I know that can be frustrating..we hope to have you parked and deplaned shortly. Thanks for your patience.  *AA,@mjdout  ,I know that can be frustrating..we hope to have you parked and deplaned shortly. Thanks for your patience.  *AA,AA,I know that can be frustrating..we hope to have you parked and deplaned shortly. Thanks for your patience.  
Thu,Oct,1,2015,"@rmarkerm Terribly sorry for the inconvenience. If we can be of assistance at this time, pls let us know.  *AA",@rmarkerm  ,"Terribly sorry for the inconvenience. If we can be of assistance at this time, pls let us know.  *AA",AA,"Terribly sorry for the inconvenience. If we can be of assistance at this time, pls let us know.  "
Thu,Oct,1,2015,"@checho85  I can check, pls follow and DM your confirmation # for review.  *AA",@checho85  ," I can check, pls follow and DM your confirmation # for review.  *AA",AA," I can check, pls follow and DM your confirmation # for review.  "
Thu,Oct,1,2015,"@nealaa ...Alerts, pls check here: http://t.co/0jlcZnT95Q *JH ",@nealaa  ,"...Alerts, pls check here: http://t.co/0jlcZnT95Q *JH ",JH ,"...Alerts, pls check here: http://t.co/0jlcZnT95Q "
Thu,Oct,1,2015,"@nealaa ...advisory has only been issued for the Bahamas, but that could change.  To check for updates on Weather advisories &amp;... ",@nealaa  ,"...advisory has only been issued for the Bahamas, but that could change.  To check for updates on Weather advisories &amp;... ",,"...advisory has only been issued for the Bahamas, but that could change.  To check for updates on Weather advisories &amp;... "
Thu,Oct,1,2015,@nealaa Hi. Our meteorologist team is aware of Hurricane Joaquin &amp; monitors weather conditions at all times. At this time a weather... ,@nealaa  ,Hi. Our meteorologist team is aware of Hurricane Joaquin &amp; monitors weather conditions at all times. At this time a weather... ,,Hi. Our meteorologist team is aware of Hurricane Joaquin &amp; monitors weather conditions at all times. At this time a weather... 
Thu,Oct,1,2015,@BigGucciQueen  This is your direct dial number + 43 (0)1 360 277 3461. *DD,@BigGucciQueen  , This is your direct dial number + 43 (0)1 360 277 3461. *DD,DD, This is your direct dial number + 43 (0)1 360 277 3461. 
Thu,Oct,1,2015,@marxypoo ...for any inconvenience.  *JH ,@marxypoo  ,...for any inconvenience.  *JH ,JH ,...for any inconvenience.  
Thu,Oct,1,2015,@marxypoo ...the system &amp; when you are ready to board the aircraft the correct seat assignment will be given to you. My apologies... ,@marxypoo  ,...the system &amp; when you are ready to board the aircraft the correct seat assignment will be given to you. My apologies... ,,...the system &amp; when you are ready to board the aircraft the correct seat assignment will be given to you. My apologies... 
Thu,Oct,1,2015,"@marxypoo Hi Marx. This is a known issue &amp; our IT team members are working on a fix. Be assured, once you make the change it is in... ",@marxypoo  ,"Hi Marx. This is a known issue &amp; our IT team members are working on a fix. Be assured, once you make the change it is in... ",,"Hi Marx. This is a known issue &amp; our IT team members are working on a fix. Be assured, once you make the change it is in... "
